Feature_Type,Model,Accuracy,Precision,Recall,F1-Score
TF-IDF,Random Forest,0.6583333333333333,0.7051991721728563,0.6583333333333333,0.6509457036675819
TF-IDF,SVM,0.7708333333333334,0.7938902763902763,0.7708333333333334,0.7653720494045573
TF-IDF,Naive Bayes,0.49583333333333335,0.6306352707631481,0.49583333333333335,0.4590139255769091
TF-IDF,MLP,0.7583333333333333,0.8178367003367003,0.7583333333333333,0.7478163302449884
TF-IDF,Decision Tree,0.325,0.35119227994228,0.325,0.32121464475011385
TF-IDF,XGBoost,0.6583333333333333,0.7011519961519962,0.6583333333333333,0.6614325406026847
word_ngram,Random Forest,0.4166666666666667,0.5462616594874657,0.4166666666666667,0.41489803568750944
word_ngram,SVM,0.65,0.6499833037333037,0.65,0.612400706162316
word_ngram,Naive Bayes,0.6,0.6692540520481697,0.6,0.5753927840181038
word_ngram,MLP,0.2833333333333333,0.5695087890228555,0.2833333333333333,0.31018819357280897
word_ngram,Decision Tree,0.175,0.16937808923103043,0.175,0.1588402912303841
word_ngram,XGBoost,0.25833333333333336,0.38044368029135367,0.25833333333333336,0.25851699172287407
char_ngram,Random Forest,0.8791666666666667,0.8960016835016835,0.8791666666666667,0.8762578864204252
char_ngram,SVM,0.9291666666666667,0.9372979797979798,0.9291666666666667,0.9290325518421494
char_ngram,Naive Bayes,0.5375,0.6712799681401833,0.5375,0.5248944638887714
char_ngram,MLP,0.9416666666666667,0.9495202020202022,0.9416666666666667,0.9415597849576177
char_ngram,Decision Tree,0.6208333333333333,0.6421703296703296,0.6208333333333333,0.618491165697048
char_ngram,XGBoost,0.85,0.8582732082732083,0.85,0.8467953821204596
bert,Random Forest,0.4375,0.40353997853997847,0.4375,0.4121656482492396
bert,SVM,0.4125,0.507938201090375,0.4125,0.3959811732839039
bert,Naive Bayes,0.475,0.530051615051615,0.475,0.47184845177307155
bert,MLP,0.55,0.5690307840307841,0.55,0.5441586759361695
bert,Decision Tree,0.25,0.2689147889147889,0.25,0.24750169210796485
bert,XGBoost,0.4708333333333333,0.48465608465608473,0.4708333333333333,0.46532188149566
